title,Név,Krém,Íz,Test,Ár,Össz:,url
Roastopus Siren Espresso - Honduras kávékóstoló,Rocketeer,4.0,9.0,4.0,9.0,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1910:roastopus-siren-espresso-honduras-kavekostolo&catid=43&Itemid=110
Roastopus Siren Espresso - Honduras kávékóstoló,SicTransit,4.5,9.5,4.5,9.0,27.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1910:roastopus-siren-espresso-honduras-kavekostolo&catid=43&Itemid=110
Roastopus Siren Espresso - Honduras kávékóstoló,Szabiakos,4.5,9.5,3.5,8.5,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1910:roastopus-siren-espresso-honduras-kavekostolo&catid=43&Itemid=110
Roastopus Siren Espresso - Honduras kávékóstoló,Lorien,4.0,8.0,4.0,8.5,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1910:roastopus-siren-espresso-honduras-kavekostolo&catid=43&Itemid=110
Roastopus Siren Espresso - Honduras kávékóstoló,Weinmaker,4.0,9.0,4.0,8.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1910:roastopus-siren-espresso-honduras-kavekostolo&catid=43&Itemid=110
Roastopus La Sierrita Kolumbia kávékóstoló,Rocketeer,4.0,9.0,3.5,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1904:roastopus-la-sierrita-kolumbia-kavekostolo&catid=43&Itemid=110
Roastopus La Sierrita Kolumbia kávékóstoló,SicTransit,4.5,8.5,4.5,8.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1904:roastopus-la-sierrita-kolumbia-kavekostolo&catid=43&Itemid=110
Roastopus La Sierrita Kolumbia kávékóstoló,Szabiakos,4.5,8.5,3.5,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1904:roastopus-la-sierrita-kolumbia-kavekostolo&catid=43&Itemid=110
Roastopus La Sierrita Kolumbia kávékóstoló,Lorien,4.0,7.5,4.0,8.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1904:roastopus-la-sierrita-kolumbia-kavekostolo&catid=43&Itemid=110
Roastopus La Sierrita Kolumbia kávékóstoló,Weinmaker,4.0,8.5,4.0,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1904:roastopus-la-sierrita-kolumbia-kavekostolo&catid=43&Itemid=110
Black Sheep Guatemala Finca Joyabaj Natural kávékóstoló,Rocketeer,3.5,8.5,3.5,8.8,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1902:black-sheep-guatemala-finca-joyabaj-natural-kavekostolo&catid=43&Itemid=110
Black Sheep Guatemala Finca Joyabaj Natural kávékóstoló,SicTransit,4.0,8.5,4.5,8.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1902:black-sheep-guatemala-finca-joyabaj-natural-kavekostolo&catid=43&Itemid=110
Black Sheep Guatemala Finca Joyabaj Natural kávékóstoló,Szabiakos,4.5,9.0,4.0,8.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1902:black-sheep-guatemala-finca-joyabaj-natural-kavekostolo&catid=43&Itemid=110
Black Sheep Guatemala Finca Joyabaj Natural kávékóstoló,Lorien,4.0,8.5,4.0,8.5,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1902:black-sheep-guatemala-finca-joyabaj-natural-kavekostolo&catid=43&Itemid=110
Black Sheep Guatemala Finca Joyabaj Natural kávékóstoló,Weinmaker,4.0,9.0,4.0,8.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1902:black-sheep-guatemala-finca-joyabaj-natural-kavekostolo&catid=43&Itemid=110
Red Baggies Panama Candela Reserva kávékóstoló,Rocketeer,2.5,7.0,3.0,7.0,19.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1901:red-baggies-panama-candela-reserva-kavekostolo&catid=43&Itemid=110
Red Baggies Panama Candela Reserva kávékóstoló,SicTransit,3.5,6.0,3.5,6.0,18.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1901:red-baggies-panama-candela-reserva-kavekostolo&catid=43&Itemid=110
Red Baggies Panama Candela Reserva kávékóstoló,Szabiakos,3.0,8.0,4.5,8.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1901:red-baggies-panama-candela-reserva-kavekostolo&catid=43&Itemid=110
Red Baggies Panama Candela Reserva kávékóstoló,Lorien,4.0,6.5,4.0,6.5,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1901:red-baggies-panama-candela-reserva-kavekostolo&catid=43&Itemid=110
Red Baggies Panama Candela Reserva kávékóstoló,Weinmaker,3.0,7.0,4.0,7.0,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1901:red-baggies-panama-candela-reserva-kavekostolo&catid=43&Itemid=110
Black Sheep Colombia kávékóstoló,Rocketeer,3.0,7.5,3.0,8.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1899:black-sheep-colombia-kavekostolo&catid=43&Itemid=110
Black Sheep Colombia kávékóstoló,SicTransit,4.0,7.5,4.0,9.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1899:black-sheep-colombia-kavekostolo&catid=43&Itemid=110
Black Sheep Colombia kávékóstoló,Szabiakos,4.0,8.0,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1899:black-sheep-colombia-kavekostolo&catid=43&Itemid=110
Black Sheep Colombia kávékóstoló,Lorien,4.0,7.5,4.0,7.5,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1899:black-sheep-colombia-kavekostolo&catid=43&Itemid=110
Black Sheep Colombia kávékóstoló,Weinmaker,4.0,8.0,4.0,8.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1899:black-sheep-colombia-kavekostolo&catid=43&Itemid=110
Ethicoffe Yirgacheffe Bukisa kávékóstoló,Rocketeer,3.0,8.5,3.0,7.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1896:ethicoffe-yirgacheffe-bukisa-kavekostolo&catid=43&Itemid=110
Ethicoffe Yirgacheffe Bukisa kávékóstoló,SicTransit,4.0,8.5,4.0,6.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1896:ethicoffe-yirgacheffe-bukisa-kavekostolo&catid=43&Itemid=110
Ethicoffe Yirgacheffe Bukisa kávékóstoló,Szabiakos,3.0,8.5,3.0,7.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1896:ethicoffe-yirgacheffe-bukisa-kavekostolo&catid=43&Itemid=110
Ethicoffe Yirgacheffe Bukisa kávékóstoló,Lorien,3.5,7.0,4.0,7.5,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1896:ethicoffe-yirgacheffe-bukisa-kavekostolo&catid=43&Itemid=110
Ethicoffe Yirgacheffe Bukisa kávékóstoló,Weinmaker,3.5,8.0,3.5,7.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1896:ethicoffe-yirgacheffe-bukisa-kavekostolo&catid=43&Itemid=110
Ethicoffe Guji Hambella Buliye kávékóstoló,Rocketeer,3.0,9.0,3.0,7.5,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1894:ethicoffe-guji-hambella-buliye-kavekostolo&catid=43&Itemid=110
Ethicoffe Guji Hambella Buliye kávékóstoló,SicTransit,3.5,7.5,3.5,7.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1894:ethicoffe-guji-hambella-buliye-kavekostolo&catid=43&Itemid=110
Ethicoffe Guji Hambella Buliye kávékóstoló,Szabiakos,4.0,8.5,3.5,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1894:ethicoffe-guji-hambella-buliye-kavekostolo&catid=43&Itemid=110
Ethicoffe Guji Hambella Buliye kávékóstoló,Lorien,3.5,7.5,3.5,7.5,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1894:ethicoffe-guji-hambella-buliye-kavekostolo&catid=43&Itemid=110
Ethicoffe Guji Hambella Buliye kávékóstoló,Weinmaker,3.5,8.0,3.5,8.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1894:ethicoffe-guji-hambella-buliye-kavekostolo&catid=43&Itemid=110
KTRL Coffee Brazil Siti Osorio kávékóstoló,Rocketeer,3.0,8.0,4.0,6.5,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1887:ktrl-brazil-siti-osorio-kavekostolo&catid=43&Itemid=110
KTRL Coffee Brazil Siti Osorio kávékóstoló,SicTransit,3.0,3.0,3.0,3.0,12.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1887:ktrl-brazil-siti-osorio-kavekostolo&catid=43&Itemid=110
KTRL Coffee Brazil Siti Osorio kávékóstoló,Szabiakos,2.5,6.0,3.0,3.0,14.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1887:ktrl-brazil-siti-osorio-kavekostolo&catid=43&Itemid=110
KTRL Coffee Brazil Siti Osorio kávékóstoló,Lorien,4.0,7.0,3.5,6.0,20.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1887:ktrl-brazil-siti-osorio-kavekostolo&catid=43&Itemid=110
KTRL Coffee Brazil Siti Osorio kávékóstoló,Weinmaker,3.0,7.0,3.5,6.0,19.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1887:ktrl-brazil-siti-osorio-kavekostolo&catid=43&Itemid=110
Pacificaffe Peru Cepro Yanesha kávékóstoló,Rocketeer,3.5,7.0,3.0,8.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1884:pacificaffe-peru-cepro-yanesha-kavekostolo&catid=43&Itemid=110
Pacificaffe Peru Cepro Yanesha kávékóstoló,SicTransit,3.5,7.0,3.5,8.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1884:pacificaffe-peru-cepro-yanesha-kavekostolo&catid=43&Itemid=110
Pacificaffe Peru Cepro Yanesha kávékóstoló,Szabiakos,3.5,7.0,3.0,9.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1884:pacificaffe-peru-cepro-yanesha-kavekostolo&catid=43&Itemid=110
Pacificaffe Peru Cepro Yanesha kávékóstoló,Lorien,4.0,8.0,4.0,9.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1884:pacificaffe-peru-cepro-yanesha-kavekostolo&catid=43&Itemid=110
Pacificaffe Peru Cepro Yanesha kávékóstoló,Weinmaker,4.0,8.0,4.0,10.0,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1884:pacificaffe-peru-cepro-yanesha-kavekostolo&catid=43&Itemid=110
Cracker Jack Ethiopia - Mansa Experimental kávékóstoló,Rocketeer,3.0,9.0,3.0,7.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1883:cracker-jack-ethiopia-mansa-experimental-kavekostolo&catid=43&Itemid=110
Cracker Jack Ethiopia - Mansa Experimental kávékóstoló,SicTransit,3.5,8.5,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1883:cracker-jack-ethiopia-mansa-experimental-kavekostolo&catid=43&Itemid=110
Cracker Jack Ethiopia - Mansa Experimental kávékóstoló,Szabiakos,3.5,8.5,4.0,6.5,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1883:cracker-jack-ethiopia-mansa-experimental-kavekostolo&catid=43&Itemid=110
Cracker Jack Ethiopia - Mansa Experimental kávékóstoló,Lorien,4.0,8.5,3.5,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1883:cracker-jack-ethiopia-mansa-experimental-kavekostolo&catid=43&Itemid=110
Cracker Jack Ethiopia - Mansa Experimental kávékóstoló,Weinmaker,3.5,9.0,4.0,7.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1883:cracker-jack-ethiopia-mansa-experimental-kavekostolo&catid=43&Itemid=110
Kapucziner Nicaragua La Bendicion kávékóstoló,Rocketeer,4.0,8.0,3.5,9.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1880:kapucziner-nicaragua-la-bendicion-kavekostolo&catid=43&Itemid=110
Kapucziner Nicaragua La Bendicion kávékóstoló,SicTransit,4.5,7.5,4.0,9.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1880:kapucziner-nicaragua-la-bendicion-kavekostolo&catid=43&Itemid=110
Kapucziner Nicaragua La Bendicion kávékóstoló,Szabiakos,5.0,9.0,4.5,9.0,27.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1880:kapucziner-nicaragua-la-bendicion-kavekostolo&catid=43&Itemid=110
Kapucziner Nicaragua La Bendicion kávékóstoló,Lorien,4.0,8.5,4.0,8.5,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1880:kapucziner-nicaragua-la-bendicion-kavekostolo&catid=43&Itemid=110
Kapucziner Nicaragua La Bendicion kávékóstoló,Weinmaker,4.5,9.0,4.0,9.0,26.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1880:kapucziner-nicaragua-la-bendicion-kavekostolo&catid=43&Itemid=110
Cracker Jack Honduras kávékóstoló,Rocketeer,3.0,8.0,3.0,7.0,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1878:cracker-jack-honduras-kavekostolo&catid=43&Itemid=110
Cracker Jack Honduras kávékóstoló,SicTransit,3.5,7.5,3.5,8.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1878:cracker-jack-honduras-kavekostolo&catid=43&Itemid=110
Cracker Jack Honduras kávékóstoló,Szabiakos,4.0,8.5,3.0,6.5,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1878:cracker-jack-honduras-kavekostolo&catid=43&Itemid=110
Cracker Jack Honduras kávékóstoló,Lorien,4.0,8.5,4.0,7.5,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1878:cracker-jack-honduras-kavekostolo&catid=43&Itemid=110
Cracker Jack Honduras kávékóstoló,Weinmaker,4.0,8.0,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1878:cracker-jack-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Honduras kávékóstoló,Rocketeer,4.0,8.0,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1871:mobstery-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Honduras kávékóstoló,SicTransit,4.0,8.5,4.0,7.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1871:mobstery-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Honduras kávékóstoló,Szabiakos,5.0,8.5,3.5,7.5,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1871:mobstery-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Honduras kávékóstoló,Lorien,4.0,8.0,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1871:mobstery-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Honduras kávékóstoló,Weinmaker,4.0,8.0,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1871:mobstery-honduras-kavekostolo&catid=43&Itemid=110
Mobstery Peru kávékóstoló,Rocketeer,4.0,9.0,4.0,7.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1870:mobstery-peru-kavekostolo&catid=43&Itemid=110
Mobstery Peru kávékóstoló,SicTransit,3.5,8.0,3.5,7.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1870:mobstery-peru-kavekostolo&catid=43&Itemid=110
Mobstery Peru kávékóstoló,Szabiakos,4.0,9.0,4.0,7.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1870:mobstery-peru-kavekostolo&catid=43&Itemid=110
Mobstery Peru kávékóstoló,Lorien,4.0,8.5,4.5,7.5,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1870:mobstery-peru-kavekostolo&catid=43&Itemid=110
Mobstery Peru kávékóstoló,Weinmaker,4.0,9.0,4.0,7.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1870:mobstery-peru-kavekostolo&catid=43&Itemid=110
Coffer Funky 100% Arabica blend kávékóstoló,Rocketeer,4.0,8.5,3.0,10.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1869:coffer-funky-100-arabica-blend-kavekostolo&catid=43&Itemid=110
Coffer Funky 100% Arabica blend kávékóstoló,SicTransit,2.0,7.0,4.5,10.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1869:coffer-funky-100-arabica-blend-kavekostolo&catid=43&Itemid=110
Coffer Funky 100% Arabica blend kávékóstoló,Szabiakos,4.0,8.5,4.0,10.0,26.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1869:coffer-funky-100-arabica-blend-kavekostolo&catid=43&Itemid=110
Coffer Funky 100% Arabica blend kávékóstoló,Lorien,4.0,8.0,4.5,9.5,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1869:coffer-funky-100-arabica-blend-kavekostolo&catid=43&Itemid=110
Coffer Funky 100% Arabica blend kávékóstoló,Weinmaker,4.0,8.0,4.0,10.0,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1869:coffer-funky-100-arabica-blend-kavekostolo&catid=43&Itemid=110
Pacificaffe Indonesia Bali Batur Estate kávékóstoló,Rocketeer,4.5,7.5,4.0,7.5,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1866:pacificaffe-indonesia-bali-batur-estate-kavekostolo&catid=43&Itemid=110
